2019-07-17 10:34:30.020 [main] INFO  c.a.d.xa.XATransactionalResource - masterDataSource: refreshed XAResource
2019-07-17 10:34:30.109 [main] INFO  c.r.c.d.MasterSqlSessionConfig - master.maxSqlCount:200000
2019-07-17 10:34:32.555 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-07-17 10:34:32.561 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-07-17 10:34:33.901 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/resources/**'], []
2019-07-17 10:34:34.111 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@c7aac7c, org.springframework.security.web.context.SecurityContextPersistenceFilter@d0538b3, org.springframework.security.web.header.HeaderWriterFilter@6d7a343f, org.springframework.security.web.authentication.logout.LogoutFilter@1b89debc, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3338d706, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@7c8cea05, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@7ab8f93, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@24ea71d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@69542112, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6037748a, org.springframework.security.web.session.SessionManagementFilter@2f541f60, org.springframework.security.web.access.ExceptionTranslationFilter@63d43a5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7def62d0]
2019-07-17 10:34:34.708 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-07-17 10:34:37.599 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2019-07-17 10:34:37.618 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-07-17 10:34:37.707 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-07-17 10:34:37.722 [main] INFO  com.RapBusinessCommonApplication - Started RapBusinessCommonApplication in 28.968 seconds (JVM running for 34.843)
2019-07-17 10:38:09.493 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-07-17 10:38:09.494 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-07-17 10:38:09.551 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 57 ms
2019-07-17 10:40:02.123 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.288 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.295 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.303 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.313 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.319 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.324 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.331 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.336 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.343 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.350 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.362 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.369 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.382 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.385 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.389 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.392 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
2019-07-17 10:40:02.395 [http-nio-8080-exec-6] INFO  c.r.o.d.m.i.QueryLoggingInterceptor - ********************************QueryLoggingInterceptor intercepted*******************************
